article_id,published_at,finbert_label,finbert_score,finbert_confidence,finbert_relevance,finbert_impact_strength,v2_final_score,v2_original_label,v2_canonical_direction,v2_confidence,v2_signal_mode,news_available,news_normalized_value,news_contribution,news_weighted_items,news_total_weight,news_agreement,momentum_available,momentum_normalized_value,momentum_contribution,momentum_horizons,volume_available,volume_contribution,volume_recent,volume_baseline_median,volume_relative,reliability_liquidity,reliability_freshness,reliability_data_quality,data_quality,warnings_missing_inputs,entry_price_1d,exit_price_1d,return_1d,realized_direction_1d,correct_1d,event_status_1d,event_entry_timestamp,event_exit_timestamp,signal_run_id
123,2020-05-20 00:00:00,neutral,0.1255074549344749,0.8530673980898644,1.0,0.5,0.0462435328301105,neutral,NEUTRAL,0.5349496806078393,NEWS_PLUS_MARKET,True,0.0,0.0,3,1.327182265188193,0.0,True,0.2115084293539034,0.07402795027386619,"[{""horizon_bars"": 1.0, ""normalized"": -0.15564805843103197, ""return"": -0.007782402921551599, ""weight"": 0.5}, {""horizon_bars"": 4.0, ""normalized"": 0.3867020731823935, ""return"": 0.01933510365911968, ""weight"": 0.3}, {""horizon_bars"": 12.0, ""normalized"": 0.8666091830735065, ""return"": 0.04333045915367533, ""weight"": 0.2}]",True,0.005246677434894726,31586000.0,35289000.0,0.8950664513021055,0.5,0.6,0.65,UNASSESSED,No quote was available for liquidity/spread assessment.,70.45800018310547,70.3375015258789,-0.0017102196615489,BEARISH,False,VALID,2020-05-20T13:30:00,2020-05-21T13:30:00,82
124,2020-05-20 00:00:00,neutral,0.03650682531003825,0.9030147605889246,1.0,0.5,0.0462435328301105,neutral,NEUTRAL,0.5349496806078393,NEWS_PLUS_MARKET,True,0.0,0.0,3,1.327182265188193,0.0,True,0.2115084293539034,0.07402795027386619,"[{""horizon_bars"": 1.0, ""normalized"": -0.15564805843103197, ""return"": -0.007782402921551599, ""weight"": 0.5}, {""horizon_bars"": 4.0, ""normalized"": 0.3867020731823935, ""return"": 0.01933510365911968, ""weight"": 0.3}, {""horizon_bars"": 12.0, ""normalized"": 0.8666091830735065, ""return"": 0.04333045915367533, ""weight"": 0.2}]",True,0.005246677434894726,31586000.0,35289000.0,0.8950664513021055,0.5,0.6,0.65,UNASSESSED,No quote was available for liquidity/spread assessment.,70.45800018310547,70.3375015258789,-0.0017102196615489,BEARISH,False,VALID,2020-05-20T13:30:00,2020-05-21T13:30:00,84
125,2020-05-20 00:00:00,neutral,0.08264957110540795,0.8982823716975973,1.0,0.5,0.0462435328301105,neutral,NEUTRAL,0.5349496806078393,NEWS_PLUS_MARKET,True,0.0,0.0,3,1.327182265188193,0.0,True,0.2115084293539034,0.07402795027386619,"[{""horizon_bars"": 1.0, ""normalized"": -0.15564805843103197, ""return"": -0.007782402921551599, ""weight"": 0.5}, {""horizon_bars"": 4.0, ""normalized"": 0.3867020731823935, ""return"": 0.01933510365911968, ""weight"": 0.3}, {""horizon_bars"": 12.0, ""normalized"": 0.8666091830735065, ""return"": 0.04333045915367533, ""weight"": 0.2}]",True,0.005246677434894726,31586000.0,35289000.0,0.8950664513021055,0.5,0.6,0.65,UNASSESSED,No quote was available for liquidity/spread assessment.,70.45800018310547,70.3375015258789,-0.0017102196615489,BEARISH,False,VALID,2020-05-20T13:30:00,2020-05-21T13:30:00,86
126,2020-05-21 00:00:00,neutral,-0.10093958416141106,0.8459030484322799,1.0,0.5,0.1434220791302254,neutral,NEUTRAL,0.5746259331684919,NEWS_PLUS_MARKET,True,0.0,0.0,4,1.3962185186874816,0.0,True,0.6841792625824811,0.23946274190386835,"[{""horizon_bars"": 1.0, ""normalized"": 0.505820410806029, ""return"": 0.025291020540301454, ""weight"": 0.5}, {""horizon_bars"": 4.0, ""normalized"": 0.7708968572648885, ""return"": 0.03854484286324443, ""weight"": 0.3}, {""horizon_bars"": 13.0, ""normalized"": 1.0, ""return"": 0.06971735122645308, ""weight"": 0.2}]",True,0.006403679462232448,38262000.0,33918000.0,1.128073589244649,0.5,0.6,0.65,UNASSESSED,No quote was available for liquidity/spread assessment.,70.3375015258789,70.66200256347656,0.0046134854175658,BULLISH,False,VALID,2020-05-21T13:30:00,2020-05-22T13:30:00,88
155,2020-05-21 00:00:00,neutral,-0.02142207308544164,0.903423004571922,1.0,0.5,0.3067629111611695,bullish,BULLISH,0.6429467346321556,NEWS_PLUS_MARKET,True,0.4961178617490853,0.2728648239619969,2,0.8964626209096251,0.4961178617490853,True,0.6868153267175234,0.2403853643511332,"[{""horizon_bars"": 1.0, ""normalized"": 0.37363065343504703, ""return"": 0.018681532671752352, ""weight"": 0.5}, {""horizon_bars"": 4.0, ""normalized"": 1.0, ""return"": 0.11699144596756285, ""weight"": 0.3}, {""horizon_bars"": 13.0, ""normalized"": 1.0, ""return"": 0.26883093652315665, ""weight"": 0.2}]",True,0.012629087963160368,587536000.0,469060000.0,1.2525817592632074,0.5,0.6,0.65,UNASSESSED,No quote was available for liquidity/spread assessment.,8.775250434875488,9.026249885559082,0.0286031096828924,BULLISH,True,VALID,2020-05-21T13:30:00,2020-05-22T13:30:00,90
156,2020-05-21 00:00:00,bullish,0.8273844252606976,0.8895022372473281,1.0,0.5,0.3067629111611695,bullish,BULLISH,0.6429467346321556,NEWS_PLUS_MARKET,True,0.4961178617490853,0.2728648239619969,2,0.8964626209096251,0.4961178617490853,True,0.6868153267175234,0.2403853643511332,"[{""horizon_bars"": 1.0, ""normalized"": 0.37363065343504703, ""return"": 0.018681532671752352, ""weight"": 0.5}, {""horizon_bars"": 4.0, ""normalized"": 1.0, ""return"": 0.11699144596756285, ""weight"": 0.3}, {""horizon_bars"": 13.0, ""normalized"": 1.0, ""return"": 0.26883093652315665, ""weight"": 0.2}]",True,0.012629087963160368,587536000.0,469060000.0,1.2525817592632074,0.5,0.6,0.65,UNASSESSED,No quote was available for liquidity/spread assessment.,8.775250434875488,9.026249885559082,0.0286031096828924,BULLISH,True,VALID,2020-05-21T13:30:00,2020-05-22T13:30:00,92
127,2020-05-22 00:00:00,bearish,-0.4856515854646143,0.5087725122115658,1.0,0.5,0.1521891213432441,neutral,NEUTRAL,0.5758522829136253,NEWS_PLUS_MARKET,True,0.25295942645982866,0.13912768455290578,7,1.925315355017393,0.25295942645982866,True,0.3301165688523909,0.1155407990983368,"[{""horizon_bars"": 1.0, ""normalized"": -0.03420439323097787, ""return"": -0.0017102196615488934, ""weight"": 0.5}, {""horizon_bars"": 4.0, ""normalized"": 0.49072921822626603, ""return"": 0.024536460911313302, ""weight"": 0.3}, {""horizon_bars"": 14.0, ""normalized"": 1.0, ""return"": 0.06788789958008559, ""weight"": 0.2}]",True,0.0062271529371758895,30894000.0,35289000.0,0.8754569412564822,0.5,0.6,0.65,UNASSESSED,No quote was available for liquidity/spread assessment.,70.66200256347656,,,,,OUT_OF_TOLERANCE,2020-05-22T13:30:00,2020-05-26T13:30:00,94
128,2020-05-22 00:00:00,bullish,0.20183405615901778,0.775905253670845,1.0,0.5,0.1521891213432441,neutral,NEUTRAL,0.5758522829136253,NEWS_PLUS_MARKET,True,0.25295942645982866,0.13912768455290578,7,1.925315355017393,0.25295942645982866,True,0.3301165688523909,0.1155407990983368,"[{""horizon_bars"": 1.0, ""normalized"": -0.03420439323097787, ""return"": -0.0017102196615488934, ""weight"": 0.5}, {""horizon_bars"": 4.0, ""normalized"": 0.49072921822626603, ""return"": 0.024536460911313302, ""weight"": 0.3}, {""horizon_bars"": 14.0, ""normalized"": 1.0, ""return"": 0.06788789958008559, ""weight"": 0.2}]",True,0.0062271529371758895,30894000.0,35289000.0,0.8754569412564822,0.5,0.6,0.65,UNASSESSED,No quote was available for liquidity/spread assessment.,70.66200256347656,,,,,OUT_OF_TOLERANCE,2020-05-22T13:30:00,2020-05-26T13:30:00,96
129,2020-05-22 00:00:00,bullish,0.27589863044334295,0.7069205944597231,1.0,0.5,0.1521891213432441,neutral,NEUTRAL,0.5758522829136253,NEWS_PLUS_MARKET,True,0.25295942645982866,0.13912768455290578,7,1.925315355017393,0.25295942645982866,True,0.3301165688523909,0.1155407990983368,"[{""horizon_bars"": 1.0, ""normalized"": -0.03420439323097787, ""return"": -0.0017102196615488934, ""weight"": 0.5}, {""horizon_bars"": 4.0, ""normalized"": 0.49072921822626603, ""return"": 0.024536460911313302, ""weight"": 0.3}, {""horizon_bars"": 14.0, ""normalized"": 1.0, ""return"": 0.06788789958008559, ""weight"": 0.2}]",True,0.0062271529371758895,30894000.0,35289000.0,0.8754569412564822,0.5,0.6,0.65,UNASSESSED,No quote was available for liquidity/spread assessment.,70.66200256347656,,,,,OUT_OF_TOLERANCE,2020-05-22T13:30:00,2020-05-26T13:30:00,98
157,2020-05-22 00:00:00,bullish,0.5325977798839038,0.5468758726783222,1.0,0.5,0.2959208180774385,bullish,BULLISH,0.6354867917331726,NEWS_PLUS_MARKET,True,0.7523892829990242,0.41381410564946336,22,8.615164849693002,0.7523892829990242,True,0.18392998564044769,0.06437549497415669,"[{""horizon_bars"": 1.0, ""normalized"": -0.434224807928191, ""return"": -0.02171124039640955, ""weight"": 0.5}, {""horizon_bars"": 4.0, ""normalized"": 0.6701412986818106, ""return"": 0.03350706493409053, ""weight"": 0.3}, {""horizon_bars"": 14.0, ""normalized"": 1.0, ""return"": 0.2412830430379009, ""weight"": 0.2}]",True,0.02910323036627448,761068000.0,481060000.0,1.5820646073254896,0.5,0.6,0.65,UNASSESSED,No quote was available for liquidity/spread assessment.,9.026249885559082,,,,,OUT_OF_TOLERANCE,2020-05-22T13:30:00,2020-05-26T13:30:00,100
